,category,pass_rate
52,1_01_01,0.5700000000000001
48,1_01_02,0.59
51,1_01_04,0.4525
49,1_01_05,0.5600000000000002
50,1_01_06,0.08
47,1_02_01,0.89
43,1_02_02,0.62
46,1_02_04,0.85
44,1_02_05,0.74
45,1_02_06,0.0
70,2_01_02,0.06000000000000001
69,2_01_03,0.05
71,2_01_05,0.04
72,2_01_06,0.02
74,2_01_08,0.01
73,2_01_09,0.05
62,2_02_01,0.41
59,2_02_02,0.13000000000000003
58,2_02_03,0.45999999999999996
60,2_02_06,0.03
61,2_02_08,0.26000000000000006
57,2_03_01,0.23000000000000004
54,2_03_02,0.34
53,2_03_03,0.0
56,2_03_04,0.06999999999999999
55,2_03_05,0.0
68,2_04_01,0.0
64,2_04_02,0.02
63,2_04_03,0.24000000000000007
67,2_04_04,0.05
65,2_04_05,0.13
66,2_04_06,0.13
42,3_01_01,0.02
39,3_01_02,0.01
38,3_01_03,0.0
41,3_01_04,0.01
40,3_01_06,0.0
7,3_02_01,0.01
5,3_02_02,0.04
4,3_02_03,0.09
6,3_02_04,0.06999999999999999
3,3_03_01,0.030000000000000006
1,3_03_02,0.12000000000000002
0,3_03_03,0.030000000000000006
2,3_03_04,0.01
30,3_04_01,0.1125
28,3_04_02,0.0
27,3_04_03,0.05499999999999999
29,3_04_04,0.005
12,3_05_01,0.02
9,3_05_02,0.030000000000000006
8,3_05_03,0.01
11,3_05_04,0.0
10,3_05_05,0.11000000000000001
18,3_06_01,0.6300000000000001
13,3_06_03,0.01
16,3_06_04,0.0
14,3_06_05,0.04
15,3_06_06,0.32000000000000006
17,3_06_07,0.06000000000000001
35,3_07_01,0.06999999999999999
32,3_07_02,0.30000000000000004
31,3_07_03,0.05
34,3_07_04,0.26
33,3_07_05,0.2800000000000001
37,3_08_01,0.0
36,3_08_02,0.030000000000000006
26,3_09_01,0.0
20,3_09_02,0.0
19,3_09_03,0.030000000000000006
23,3_09_04,0.0
21,3_09_05,0.26
22,3_09_06,0.16500000000000004
24,3_09_07,0.13999999999999999
25,3_09_08,0.01
