,category,pass_rate
0,1_01_01,0.95
1,1_01_02,0.8300000000000001
2,1_01_04,0.9200000000000002
3,1_01_05,0.04
4,1_01_06,0.0
5,1_02_01,1.0
6,1_02_02,0.9
7,1_02_04,0.9800000000000001
8,1_02_05,0.4
9,1_02_06,0.0
10,2_01_02,0.42000000000000004
11,2_01_03,0.47000000000000003
12,2_01_05,0.2600000000000001
13,2_01_06,0.43
14,2_01_08,0.02
15,2_01_09,0.01
16,2_02_01,0.0
17,2_02_02,0.0
18,2_02_03,0.0
19,2_02_06,0.0
20,2_02_08,0.29
21,2_03_01,0.44000000000000006
22,2_03_02,0.7699999999999999
23,2_03_03,0.13000000000000003
24,2_03_04,0.01
25,2_03_05,0.02
26,2_04_01,0.0
27,2_04_02,0.0
28,2_04_03,0.0
29,2_04_04,0.0
30,2_04_05,0.0
31,2_04_06,0.0
32,3_01_01,0.0
33,3_01_02,0.0
34,3_01_03,0.01
35,3_01_04,0.05
36,3_01_06,0.0
37,3_02_01,0.24000000000000005
38,3_02_02,0.0
39,3_02_03,0.0
40,3_02_04,0.01
41,3_03_01,0.01
42,3_03_02,0.0
43,3_03_03,0.0
44,3_03_04,0.10999999999999999
45,3_04_01,0.0
46,3_04_02,0.0
47,3_04_03,0.0
48,3_04_04,0.0
49,3_05_01,0.0
50,3_05_02,0.0
51,3_05_03,0.01
52,3_05_04,0.030000000000000006
53,3_05_05,0.13999999999999999
54,3_06_01,0.37999999999999995
55,3_06_03,0.17
56,3_06_04,0.05
57,3_06_05,0.07
58,3_06_06,0.18000000000000002
59,3_06_07,0.11000000000000001
60,3_07_01,0.0
61,3_07_02,0.20000000000000004
62,3_07_03,0.030000000000000006
63,3_07_04,0.0
64,3_07_05,0.0
65,3_08_01,0.0
66,3_08_02,0.0
67,3_09_01,0.0
68,3_09_02,0.02
69,3_09_03,0.0
70,3_09_04,0.0
71,3_09_05,0.0
72,3_09_06,0.0
73,3_09_07,0.0
74,3_09_08,0.0
