,category,pass_rate
0,1_01_01,0.7600000000000001
1,1_01_02,0.47000000000000003
2,1_01_04,0.13
3,1_01_05,0.15000000000000002
4,1_01_06,0.0
5,1_02_01,0.9700000000000001
6,1_02_02,0.8300000000000001
7,1_02_04,0.15000000000000002
8,1_02_05,0.25
9,1_02_06,0.0
10,2_01_02,0.36
11,2_01_03,0.4699999999999999
12,2_01_05,0.2699999999999999
13,2_01_06,0.3600000000000001
14,2_01_08,0.02
15,2_01_09,0.16000000000000003
16,2_02_01,0.04
17,2_02_02,0.05
18,2_02_03,0.10999999999999999
19,2_02_06,0.06
20,2_02_08,0.33000000000000007
21,2_03_01,0.4800000000000001
22,2_03_02,0.2700000000000001
23,2_03_03,0.18
24,2_03_04,0.0
25,2_03_05,0.0
26,2_04_01,0.05
27,2_04_02,0.07999999999999999
28,2_04_03,0.14
29,2_04_04,0.0
30,2_04_05,0.0
31,2_04_06,0.15000000000000002
32,3_01_01,0.02
33,3_01_02,0.02
34,3_01_03,0.030000000000000006
35,3_01_04,0.02
36,3_01_06,0.0
37,3_02_01,0.30000000000000004
38,3_02_02,0.06999999999999999
39,3_02_03,0.21000000000000002
40,3_02_04,0.0
41,3_03_01,0.0
42,3_03_02,0.06000000000000001
43,3_03_03,0.02
44,3_03_04,0.04
45,3_04_01,0.29000000000000004
46,3_04_02,0.030000000000000006
47,3_04_03,0.24000000000000005
48,3_04_04,0.07999999999999999
49,3_05_01,0.0
50,3_05_02,0.0
51,3_05_03,0.0
52,3_05_04,0.0
53,3_05_05,0.06999999999999999
54,3_06_01,0.41000000000000003
55,3_06_03,0.17
56,3_06_04,0.02
57,3_06_05,0.1
58,3_06_06,0.13
59,3_06_07,0.15
60,3_07_01,0.030000000000000006
61,3_07_02,0.05
62,3_07_03,0.0
63,3_07_04,0.12
64,3_07_05,0.02
65,3_08_01,0.0
66,3_08_02,0.06999999999999999
67,3_09_01,0.0
68,3_09_02,0.01
69,3_09_03,0.0
70,3_09_04,0.0
71,3_09_05,0.13
72,3_09_06,0.04
73,3_09_07,0.0
74,3_09_08,0.011764705882352941
