,category,pass_rate
0,1_01_01,0.8291666666666666
1,1_01_02,0.9166666666666666
2,1_01_04,0.7458333333333333
3,1_01_05,0.7091666666666667
4,1_01_06,0.0
5,1_02_01,0.8766666666666666
6,1_02_02,0.9
7,1_02_04,0.7958333333333334
8,1_02_05,0.835
9,1_02_06,0.029166666666666664
10,2_01_02,0.0
11,2_01_03,0.0
12,2_01_05,0.0
13,2_01_06,0.025
14,2_01_08,0.025
15,2_01_09,0.0
16,2_02_01,0.0
17,2_02_02,0.0
18,2_02_03,0.0
19,2_02_06,0.0
20,2_02_08,0.23500000000000001
21,2_03_01,0.0
22,2_03_02,0.0375
23,2_03_03,0.0
73,2_03_04,0.02
24,2_03_05,0.0
25,2_04_01,0.0
26,2_04_02,0.0
27,2_04_03,0.0
28,2_04_04,0.0
29,2_04_05,0.0
30,2_04_06,0.0
31,3_01_01,0.0
32,3_01_02,0.0
33,3_01_03,0.0
34,3_01_04,0.0
35,3_01_06,0.0
36,3_02_01,0.0
37,3_02_02,0.0
38,3_02_03,0.0
39,3_02_04,0.016666666666666666
40,3_03_01,0.0
41,3_03_02,0.01
42,3_03_03,0.0
43,3_03_04,0.025
44,3_04_01,0.029166666666666664
45,3_04_02,0.0
46,3_04_03,0.0
47,3_04_04,0.0
48,3_05_01,0.0
49,3_05_02,0.0
50,3_05_03,0.025
51,3_05_04,0.027777777777777776
74,3_05_05,0.04
69,3_06_01,0.0725
70,3_06_03,0.0
71,3_06_04,0.05833333333333333
72,3_06_05,0.0
52,3_06_06,0.12083333333333333
53,3_06_07,0.1491666666666667
54,3_07_01,0.0
55,3_07_02,0.025
56,3_07_03,0.0
57,3_07_04,0.02
58,3_07_05,0.0375
59,3_08_01,0.0
60,3_08_02,0.0
61,3_09_01,0.0
62,3_09_02,0.0
63,3_09_03,0.0
64,3_09_04,0.0
65,3_09_05,0.0
66,3_09_06,0.12666666666666665
67,3_09_07,0.0125
68,3_09_08,0.10526315789473684
