,category,pass_rate,mean_attempts
52,1_01_01,0.85,1.411764705882353
48,1_01_02,0.85,1.6470588235294117
51,1_01_04,0.75,1.6666666666666667
49,1_01_05,0.75,1.2
50,1_01_06,0.2,2.0
47,1_02_01,0.95,1.1578947368421053
43,1_02_02,0.85,1.2941176470588236
46,1_02_04,1.0,1.15
44,1_02_05,0.85,1.2941176470588236
45,1_02_06,0.0,
70,2_01_02,0.2,1.0
69,2_01_03,0.2,1.75
71,2_01_05,0.1,2.0
72,2_01_06,0.05,1.0
74,2_01_08,0.05,5.0
73,2_01_09,0.15,1.3333333333333333
62,2_02_01,0.95,2.210526315789474
59,2_02_02,0.3,1.5
58,2_02_03,0.7,1.5
60,2_02_06,0.05,2.0
61,2_02_08,0.5,1.4
57,2_03_01,0.6,2.4166666666666665
54,2_03_02,0.7,2.642857142857143
53,2_03_03,0.0,
56,2_03_04,0.3,3.8333333333333335
55,2_03_05,0.0,
68,2_04_01,0.0,
64,2_04_02,0.1,3.5
63,2_04_03,0.7,2.5714285714285716
67,2_04_04,0.2,2.75
65,2_04_05,0.5,2.3
66,2_04_06,0.35,1.8571428571428572
42,3_01_01,0.1,4.5
39,3_01_02,0.05,3.0
38,3_01_03,0.0,
41,3_01_04,0.05,4.0
40,3_01_06,0.0,
7,3_02_01,0.05,2.0
5,3_02_02,0.2,2.75
4,3_02_03,0.35,2.5714285714285716
6,3_02_04,0.3,3.1666666666666665
3,3_03_01,0.15,2.3333333333333335
1,3_03_02,0.35,2.5714285714285716
0,3_03_03,0.15,4.333333333333333
2,3_03_04,0.05,1.0
30,3_04_01,0.3,3.0
28,3_04_02,0.0,
27,3_04_03,0.25,3.0
29,3_04_04,0.05,1.0
12,3_05_01,0.1,3.0
9,3_05_02,0.15,4.666666666666667
8,3_05_03,0.05,2.0
11,3_05_04,0.0,
10,3_05_05,0.25,1.8
18,3_06_01,0.95,1.894736842105263
13,3_06_03,0.05,1.0
16,3_06_04,0.0,
14,3_06_05,0.2,2.75
15,3_06_06,0.85,2.4705882352941178
17,3_06_07,0.25,3.4
35,3_07_01,0.3,1.8333333333333333
32,3_07_02,0.65,2.1538461538461537
31,3_07_03,0.2,2.75
34,3_07_04,0.5,1.5
33,3_07_05,0.55,2.5454545454545454
37,3_08_01,0.0,
36,3_08_02,0.15,4.0
26,3_09_01,0.0,
20,3_09_02,0.0,
19,3_09_03,0.2,4.0
23,3_09_04,0.0,
21,3_09_05,0.45,2.4444444444444446
22,3_09_06,0.85,3.823529411764706
24,3_09_07,0.5,3.4
25,3_09_08,0.05,3.0
