,category,pass_rate,mean_attempts
0,1_01_01,0.95,1.0
1,1_01_02,0.85,1.0
2,1_01_04,1.0,1.1
3,1_01_05,0.05,1.0
4,1_01_06,0.0,
5,1_02_01,1.0,1.0
6,1_02_02,0.95,1.0526315789473684
7,1_02_04,1.0,1.05
8,1_02_05,0.45,1.1111111111111112
9,1_02_06,0.0,
10,2_01_02,0.7,1.4285714285714286
11,2_01_03,0.7,1.5
12,2_01_05,0.7,2.0
13,2_01_06,0.75,1.7333333333333334
14,2_01_08,0.1,3.0
15,2_01_09,0.05,4.0
16,2_02_01,0.0,
17,2_02_02,0.0,
18,2_02_03,0.0,
19,2_02_06,0.0,
20,2_02_08,0.55,2.090909090909091
21,2_03_01,0.85,2.6470588235294117
22,2_03_02,1.0,1.25
23,2_03_03,0.3,1.8333333333333333
24,2_03_04,0.05,3.0
25,2_03_05,0.1,2.5
26,2_04_01,0.0,
27,2_04_02,0.0,
28,2_04_03,0.0,
29,2_04_04,0.0,
30,2_04_05,0.0,
31,2_04_06,0.0,
32,3_01_01,0.0,
33,3_01_02,0.0,
34,3_01_03,0.05,5.0
35,3_01_04,0.05,1.0
36,3_01_06,0.0,
37,3_02_01,0.5,2.1
38,3_02_02,0.0,
39,3_02_03,0.0,
40,3_02_04,0.05,2.0
41,3_03_01,0.05,1.0
42,3_03_02,0.0,
43,3_03_03,0.0,
44,3_03_04,0.25,2.6
45,3_04_01,0.0,
46,3_04_02,0.0,
47,3_04_03,0.0,
48,3_04_04,0.0,
49,3_05_01,0.0,
50,3_05_02,0.0,
51,3_05_03,0.05,2.0
52,3_05_04,0.1,3.5
53,3_05_05,0.45,1.8888888888888888
54,3_06_01,0.7,1.8571428571428572
55,3_06_03,0.45,2.5555555555555554
56,3_06_04,0.2,3.0
57,3_06_05,0.25,2.8
58,3_06_06,0.55,2.5454545454545454
59,3_06_07,0.35,1.7142857142857142
60,3_07_01,0.0,
61,3_07_02,0.45,2.2222222222222223
62,3_07_03,0.1,3.0
63,3_07_04,0.0,
64,3_07_05,0.0,
65,3_08_01,0.0,
66,3_08_02,0.0,
67,3_09_01,0.0,
68,3_09_02,0.1,1.0
69,3_09_03,0.0,
70,3_09_04,0.0,
71,3_09_05,0.0,
72,3_09_06,0.0,
73,3_09_07,0.0,
74,3_09_08,0.0,
