,category,pass_rate,mean_attempts
0,1_01_01,0.95,1.3157894736842106
1,1_01_02,0.85,2.0588235294117645
2,1_01_04,0.3,2.3333333333333335
3,1_01_05,0.5,2.9
4,1_01_06,0.0,
5,1_02_01,1.0,1.05
6,1_02_02,0.95,1.0526315789473684
7,1_02_04,0.55,2.090909090909091
8,1_02_05,0.45,2.5555555555555554
9,1_02_06,0.0,
10,2_01_02,0.65,1.7692307692307692
11,2_01_03,0.75,1.3333333333333333
12,2_01_05,0.5,1.9
13,2_01_06,0.75,1.6666666666666667
14,2_01_08,0.1,4.5
15,2_01_09,0.55,3.272727272727273
16,2_02_01,0.2,3.25
17,2_02_02,0.25,3.0
18,2_02_03,0.5,2.7
19,2_02_06,0.25,2.8
20,2_02_08,0.75,2.1333333333333333
21,2_03_01,0.85,1.6470588235294117
22,2_03_02,0.8,2.5625
23,2_03_03,0.5,1.7
24,2_03_04,0.0,
25,2_03_05,0.0,
26,2_04_01,0.2,3.5
27,2_04_02,0.35,3.0
28,2_04_03,0.55,2.8181818181818183
29,2_04_04,0.0,
30,2_04_05,0.0,
31,2_04_06,0.6,2.25
32,3_01_01,0.1,3.5
33,3_01_02,0.1,2.5
34,3_01_03,0.15,4.0
35,3_01_04,0.1,3.5
36,3_01_06,0.0,
37,3_02_01,0.6,1.75
38,3_02_02,0.3,3.6666666666666665
39,3_02_03,0.7,2.4285714285714284
40,3_02_04,0.0,
41,3_03_01,0.0,
42,3_03_02,0.2,1.5
43,3_03_03,0.05,1.0
44,3_03_04,0.15,2.3333333333333335
45,3_04_01,0.8,2.375
46,3_04_02,0.1,1.5
47,3_04_03,0.75,2.6
48,3_04_04,0.4,3.25
49,3_05_01,0.0,
50,3_05_02,0.0,
51,3_05_03,0.0,
52,3_05_04,0.0,
53,3_05_05,0.3,2.6666666666666665
54,3_06_01,0.85,1.5294117647058822
55,3_06_03,0.5,2.6
56,3_06_04,0.1,5.0
57,3_06_05,0.3,2.1666666666666665
58,3_06_06,0.45,2.7777777777777777
59,3_06_07,0.6,3.4166666666666665
60,3_07_01,0.15,4.666666666666667
61,3_07_02,0.2,3.0
62,3_07_03,0.0,
63,3_07_04,0.5,2.4
64,3_07_05,0.1,2.0
65,3_08_01,0.0,
66,3_08_02,0.3,3.0
67,3_09_01,0.0,
68,3_09_02,0.05,1.0
69,3_09_03,0.0,
70,3_09_04,0.0,
71,3_09_05,0.3,2.0
72,3_09_06,0.05,1.0
73,3_09_07,0.0,
74,3_09_08,0.058823529411764705,3.0
