levelIndex,attempts,time_breakdown,total_time,average_rate,scenario
1,1,{1: 14},14,1.0,1
2,1,{1: 6},6,1.0,1
3,1,{1: 13},13,1.0,2
4,1,{1: 5},5,1.0,2
5,3,"{1: 27, 2: 32, 3: 13}",72,0.6,3
6,1,{1: 9},9,1.0,3
7,1,{1: 15},15,1.0,4
8,1,{1: 17},17,1.0,4
9,1,{1: 7},7,1.0,5
10,2,"{1: 7, 2: 7}",14,0.8,5
11,2,"{1: 28, 2: 7}",35,0.8,6
12,1,{1: 5},5,1.0,6
13,1,{1: 10},10,1.0,7
14,3,"{1: 11, 2: 8, 3: 7}",26,0.6,7
15,1,{1: 11},11,1.0,8
16,1,{1: 5},5,1.0,8
17,1,{1: 7},7,1.0,9
18,1,{1: 6},6,1.0,9
19,2,"{1: 8, 2: 4}",12,0.8,10
20,1,{1: 10},10,1.0,10
21,2,"{1: 9, 2: 7}",16,0.8,11
22,4,"{1: 4, 2: 9, 3: 10, 4: 34}",57,0.4,11
23,1,{1: 4},4,1.0,12
24,1,{1: 6},6,1.0,12
25,1,{1: 12},12,1.0,13
26,1,{1: 13},13,1.0,13
27,2,"{1: 7, 2: 7}",14,0.8,14
28,100,"{1: 8, 2: 55, 3: 52, 4: 20, 5: 71, 6: 8, 7: 1}",206,0.0,14
30,2,"{1: 9, 2: 5}",14,0.8,15
32,2,"{1: 6, 2: 9}",15,0.8,15
34,1,{1: 6},6,1.0,15
36,1,{1: 5},5,1.0,15
