level_index,level_name,scenario,template,variation,mode,result,score
1,multiple_forces_t02_00074.xml,multiple_forces,2,74,train,Win,30000
2,multiple_forces_t02_00019.xml,multiple_forces,2,19,train,Win,30100
3,multiple_forces_t02_00050.xml,multiple_forces,2,50,train,Win,25000
4,multiple_forces_t02_00008.xml,multiple_forces,2,8,train,Win,30140
5,multiple_forces_t02_00026.xml,multiple_forces,2,26,train,Win,30000
6,multiple_forces_t02_00016.xml,multiple_forces,2,16,train,Win,30000
7,multiple_forces_t02_00037.xml,multiple_forces,2,37,train,Win,30000
8,multiple_forces_t02_00007.xml,multiple_forces,2,7,train,Win,20000
9,multiple_forces_t02_00058.xml,multiple_forces,2,58,train,Lose,0
10,multiple_forces_t02_00008.xml,multiple_forces,2,8,train,Win,30000
11,multiple_forces_t02_00029.xml,multiple_forces,2,29,train,Win,30000
12,multiple_forces_t02_00055.xml,multiple_forces,2,55,train,Win,30000
13,multiple_forces_t02_00047.xml,multiple_forces,2,47,train,Win,31000
14,multiple_forces_t02_00028.xml,multiple_forces,2,28,train,Win,30000
15,multiple_forces_t02_00010.xml,multiple_forces,2,10,train,Win,31000
16,multiple_forces_t02_00032.xml,multiple_forces,2,32,train,Win,30000
17,multiple_forces_t02_00071.xml,multiple_forces,2,71,test,Win,30000
18,multiple_forces_t02_00076.xml,multiple_forces,2,76,test,Win,30000
19,multiple_forces_t02_00015.xml,multiple_forces,2,15,test,Win,30600
20,multiple_forces_t02_00061.xml,multiple_forces,2,61,test,Win,30000
21,multiple_forces_t06_00012.xml,multiple_forces,6,12,train,Lose,0
22,multiple_forces_t06_00018.xml,multiple_forces,6,18,train,Lose,0
23,multiple_forces_t06_00014.xml,multiple_forces,6,14,train,Lose,0
24,multiple_forces_t06_00017.xml,multiple_forces,6,17,train,Lose,0
25,multiple_forces_t06_00015.xml,multiple_forces,6,15,train,Lose,0
26,multiple_forces_t06_00043.xml,multiple_forces,6,43,train,Lose,0
27,multiple_forces_t06_00077.xml,multiple_forces,6,77,train,Lose,0
28,multiple_forces_t06_00073.xml,multiple_forces,6,73,train,Lose,0
29,multiple_forces_t06_00022.xml,multiple_forces,6,22,train,Lose,0
30,multiple_forces_t06_00064.xml,multiple_forces,6,64,train,Lose,0
31,multiple_forces_t06_00041.xml,multiple_forces,6,41,train,Lose,0
32,multiple_forces_t06_00026.xml,multiple_forces,6,26,train,Lose,0
33,multiple_forces_t06_00044.xml,multiple_forces,6,44,train,Lose,0
34,multiple_forces_t06_00078.xml,multiple_forces,6,78,train,Lose,0
35,multiple_forces_t06_00035.xml,multiple_forces,6,35,train,Lose,0
36,multiple_forces_t06_00080.xml,multiple_forces,6,80,train,Lose,0
37,multiple_forces_t06_00068.xml,multiple_forces,6,68,test,Lose,0
38,multiple_forces_t06_00001.xml,multiple_forces,6,1,test,Lose,0
39,multiple_forces_t06_00003.xml,multiple_forces,6,3,test,Lose,0
40,multiple_forces_t06_00046.xml,multiple_forces,6,46,test,Lose,0
41,multiple_forces_t01_00008.xml,multiple_forces,1,8,train,Win,30150
42,multiple_forces_t01_00030.xml,multiple_forces,1,30,train,Win,31110
43,multiple_forces_t01_00064.xml,multiple_forces,1,64,train,Win,30000
44,multiple_forces_t01_00051.xml,multiple_forces,1,51,train,Win,30000
45,multiple_forces_t01_00005.xml,multiple_forces,1,5,train,Win,26500
46,multiple_forces_t01_00014.xml,multiple_forces,1,14,train,Win,30000
47,multiple_forces_t01_00008.xml,multiple_forces,1,8,train,Win,31600
48,multiple_forces_t01_00068.xml,multiple_forces,1,68,train,Win,30260
49,multiple_forces_t01_00065.xml,multiple_forces,1,65,train,Win,30000
50,multiple_forces_t01_00076.xml,multiple_forces,1,76,train,Win,25000
51,multiple_forces_t01_00025.xml,multiple_forces,1,25,train,Win,30000
52,multiple_forces_t01_00061.xml,multiple_forces,1,61,train,Win,30000
53,multiple_forces_t01_00002.xml,multiple_forces,1,2,train,Win,30000
54,multiple_forces_t01_00010.xml,multiple_forces,1,10,train,Win,30050
55,multiple_forces_t01_00004.xml,multiple_forces,1,4,train,Win,30000
56,multiple_forces_t01_00045.xml,multiple_forces,1,45,train,Win,30130
57,multiple_forces_t01_00023.xml,multiple_forces,1,23,test,Win,30000
58,multiple_forces_t01_00046.xml,multiple_forces,1,46,test,Win,30000
59,multiple_forces_t01_00015.xml,multiple_forces,1,15,test,Win,30000
60,multiple_forces_t01_00029.xml,multiple_forces,1,29,test,Win,30000
61,multiple_forces_t05_00012.xml,multiple_forces,5,12,train,Win,20620
62,multiple_forces_t05_00072.xml,multiple_forces,5,72,train,Win,30740
63,multiple_forces_t05_00026.xml,multiple_forces,5,26,train,Win,20000
64,multiple_forces_t05_00043.xml,multiple_forces,5,43,train,Win,30000
65,multiple_forces_t05_00022.xml,multiple_forces,5,22,train,Lose,0
66,multiple_forces_t05_00030.xml,multiple_forces,5,30,train,Win,25000
67,multiple_forces_t05_00067.xml,multiple_forces,5,67,train,Lose,0
68,multiple_forces_t05_00056.xml,multiple_forces,5,56,train,Win,30000
69,multiple_forces_t05_00077.xml,multiple_forces,5,77,train,Win,30090
70,multiple_forces_t05_00040.xml,multiple_forces,5,40,train,Win,26700
71,multiple_forces_t05_00002.xml,multiple_forces,5,2,train,Win,30930
72,multiple_forces_t05_00002.xml,multiple_forces,5,2,train,Lose,0
73,multiple_forces_t05_00014.xml,multiple_forces,5,14,train,Win,30000
74,multiple_forces_t05_00051.xml,multiple_forces,5,51,train,Win,31450
75,multiple_forces_t05_00063.xml,multiple_forces,5,63,train,Lose,0
76,multiple_forces_t05_00080.xml,multiple_forces,5,80,train,Lose,0
77,multiple_forces_t05_00001.xml,multiple_forces,5,1,test,Lose,0
78,multiple_forces_t05_00009.xml,multiple_forces,5,9,test,Lose,0
79,multiple_forces_t05_00053.xml,multiple_forces,5,53,test,Lose,0
80,multiple_forces_t05_00034.xml,multiple_forces,5,34,test,Lose,0
81,multiple_forces_t04_00077.xml,multiple_forces,4,77,train,Win,10800
82,multiple_forces_t04_00031.xml,multiple_forces,4,31,train,Win,30700
83,multiple_forces_t04_00075.xml,multiple_forces,4,75,train,Win,30000
84,multiple_forces_t04_00028.xml,multiple_forces,4,28,train,Win,30000
85,multiple_forces_t04_00016.xml,multiple_forces,4,16,train,Win,30000
86,multiple_forces_t04_00015.xml,multiple_forces,4,15,train,Win,30000
87,multiple_forces_t04_00049.xml,multiple_forces,4,49,train,Win,30000
88,multiple_forces_t04_00047.xml,multiple_forces,4,47,train,Win,30000
89,multiple_forces_t04_00019.xml,multiple_forces,4,19,train,Win,30310
90,multiple_forces_t04_00010.xml,multiple_forces,4,10,train,Win,30000
91,multiple_forces_t04_00020.xml,multiple_forces,4,20,train,Win,30000
92,multiple_forces_t04_00005.xml,multiple_forces,4,5,train,Win,30000
93,multiple_forces_t04_00052.xml,multiple_forces,4,52,train,Win,20640
94,multiple_forces_t04_00005.xml,multiple_forces,4,5,train,Win,30000
95,multiple_forces_t04_00057.xml,multiple_forces,4,57,train,Win,30000
96,multiple_forces_t04_00011.xml,multiple_forces,4,11,train,Win,31060
