level_index,level_name,scenario,template,variation,mode,result,score
1,single_force_t02_00074.xml,single_force,2,74,train,Win,10000
2,single_force_t02_00019.xml,single_force,2,19,train,Win,11670
3,single_force_t02_00050.xml,single_force,2,50,train,Win,10000
4,single_force_t02_00008.xml,single_force,2,8,train,Lose,0
5,single_force_t02_00026.xml,single_force,2,26,train,Win,10000
6,single_force_t02_00016.xml,single_force,2,16,train,Win,10980
7,single_force_t02_00037.xml,single_force,2,37,train,Win,10000
8,single_force_t02_00007.xml,single_force,2,7,train,Lose,0
9,single_force_t02_00058.xml,single_force,2,58,train,Lose,0
10,single_force_t02_00008.xml,single_force,2,8,train,Win,10000
11,single_force_t02_00029.xml,single_force,2,29,train,Win,10000
12,single_force_t02_00055.xml,single_force,2,55,train,Win,10000
13,single_force_t02_00047.xml,single_force,2,47,train,Lose,0
14,single_force_t02_00028.xml,single_force,2,28,train,Win,10000
15,single_force_t02_00010.xml,single_force,2,10,train,Win,5000
16,single_force_t02_00032.xml,single_force,2,32,train,Lose,0
17,single_force_t02_00071.xml,single_force,2,71,test,Win,11800
18,single_force_t02_00076.xml,single_force,2,76,test,Lose,0
19,single_force_t02_00015.xml,single_force,2,15,test,Win,10060
20,single_force_t02_00061.xml,single_force,2,61,test,Win,10000
21,single_force_t06_00012.xml,single_force,6,12,train,Lose,0
22,single_force_t06_00018.xml,single_force,6,18,train,Lose,0
23,single_force_t06_00014.xml,single_force,6,14,train,Lose,0
24,single_force_t06_00017.xml,single_force,6,17,train,Lose,0
25,single_force_t06_00015.xml,single_force,6,15,train,Lose,0
26,single_force_t06_00043.xml,single_force,6,43,train,Lose,0
27,single_force_t06_00077.xml,single_force,6,77,train,Lose,0
28,single_force_t06_00073.xml,single_force,6,73,train,Lose,0
29,single_force_t06_00022.xml,single_force,6,22,train,Lose,0
30,single_force_t06_00064.xml,single_force,6,64,train,Lose,0
31,single_force_t06_00041.xml,single_force,6,41,train,Lose,0
32,single_force_t06_00026.xml,single_force,6,26,train,Lose,0
33,single_force_t06_00044.xml,single_force,6,44,train,Lose,0
34,single_force_t06_00078.xml,single_force,6,78,train,Lose,0
35,single_force_t06_00035.xml,single_force,6,35,train,Lose,0
